Global Size,Local Size,Memory Bandwidth
1024,32,0.554713
1024,32,0.48623
1024,32,0.498539
1024,32,0.442524
1024,32,0.442524
1024,32,0.397824
1024,32,0.401884
1024,32,0.375092
1024,32,0.354816
1024,32,0.322825
2048,32,0.610614
2048,32,0.570792
2048,32,0.562637
2048,32,0.511489
2048,32,0.514832
2048,32,0.442524
2048,32,0.45011
2048,32,0.452697
2048,32,0.447552
2048,32,0.440052
2048,32,0.410256
2048,32,0.410256
2048,32,0.361327
2048,32,0.362992
2048,32,0.359677
2048,32,0.361327
2048,32,0.358042
2048,32,1.2913
2048,32,1.27047
2048,32,1.19347
4096,32,2.35132
4096,32,2.1289
4096,32,2.1289
4096,32,1.94492
4096,32,1.94492
4096,32,1.75043
4096,32,1.73119
4096,32,1.5913
4096,32,1.57538
4096,32,1.41927
4096,32,1.40659
4096,32,1.20258
4096,32,1.23077
4096,32,1.23077
4096,32,1.24046
4096,32,1.24046
4096,32,1.02298
4096,32,1.06445
4096,32,0.9606
4096,32,0.997079
8192,32,1.93299
8192,32,5.1652
8192,32,5.25128
8192,32,4.84734
8192,32,4.84734
8192,32,4.31612
8192,32,4.4377
8192,32,4.20103
8192,32,3.98832
8192,32,3.54019
8192,32,3.42475
8192,32,3.35188
8192,32,3.28205
8192,32,2.48092
8192,32,2.64771
8192,32,2.42367
8192,32,2.40517
8192,32,1.96923
8192,32,1.99416
8192,32,1.90956
16384,32,3.46238
16384,32,3.40624
16384,32,3.15077
16384,32,3.15077
16384,32,2.75176
16384,32,2.83853
16384,32,2.8258
16384,32,2.80068
16384,32,2.83853
16384,32,2.81319
16384,32,2.81319
16384,32,2.50061
16384,32,2.49073
16384,32,2.15806
16384,32,2.18046
16384,32,2.16548
16384,32,2.16548
16384,32,2.17294
16384,32,2.15806
16384,32,2.1507
32768,32,4.20103
32768,32,4.21508
32768,32,4.20103
32768,32,4.20103
32768,32,4.15943
32768,32,4.21508
32768,32,4.20103
32768,32,4.24346
32768,32,4.20103
32768,32,4.21508
32768,32,4.22922
32768,32,4.14575
32768,32,4.20103
32768,32,4.1732
32768,32,4.18707
32768,32,4.1732
32768,32,4.20103
32768,32,17.2645
32768,32,18.0044
32768,32,17.5043
65536,32,28.0068
65536,32,25.7206
65536,32,25.9857
65536,32,23.7794
65536,32,24.0059
65536,32,20.8315
65536,32,21.3611
65536,32,19.2413
65536,32,19.3893
65536,32,16.583
65536,32,15.8529
65536,32,16.1578
65536,32,30.3689
65536,32,30.3689
65536,32,30.7392
65536,32,31.5077
65536,32,30.7392
65536,32,31.1187
65536,32,25.9857
65536,32,26.8151
131072,32,53.0656
131072,32,48.4734
131072,32,46.2498
131072,32,46.2498
131072,32,43.0874
131072,32,44.6127
131072,32,37.6211
131072,32,39.0793
131072,32,32.9492
131072,32,34.2941
131072,32,29.3095
131072,32,30.7392
131072,32,26.8151
131072,32,27.2499
131072,32,22.6064
131072,32,22.6064
131072,32,22.6064
131072,32,20.4098
131072,32,20.1649
131072,32,19.9258
262144,32,30.8332
262144,32,72.5357
262144,32,74.6849
262144,32,67.6675
262144,32,69.5342
262144,32,65.4705
262144,32,66.7713
262144,32,65.8984
262144,32,60.374
262144,32,59.3086
262144,32,54.2068
262144,32,53.3464
262144,32,49.6673
262144,32,50.9215
262144,32,44.4161
262144,32,43.647
262144,32,40.1692
262144,32,36.1379
262144,32,34.0624
262144,32,33.3856
524288,32,43.5527
524288,32,43.3654
524288,32,40.6551
524288,32,40.5733
524288,32,37.0679
524288,32,36.8646
524288,32,33.166
524288,32,33.3856
524288,32,33.1115
524288,32,32.8419
524288,32,33.0031
524288,32,29.3095
524288,32,29.2669
524288,32,98.3655
524288,32,98.8477
524288,32,91.6587
524288,32,92.4996
524288,32,84.3721
524288,32,85.0841
524288,32,73.5946
1048576,32,92.288
1048576,32,84.9049
1048576,32,84.7266
1048576,32,73.5946
1048576,32,73.327
1048576,32,70.5067
1048576,32,63.813
1048576,32,65.3644
1048576,32,65.7909
1048576,32,56.8026
1048576,32,57.3682
1048576,32,56.9631
1048576,32,54.5735
1048576,32,48.4152
1048576,32,48.8847
1048576,32,39.891
1048576,32,39.3846
1048576,32,39.4231
1048576,32,39.6557
1048576,32,39.6557
2097152,32,46.463
2097152,32,46.1704
2097152,32,46.4362
2097152,32,46.6781
2097152,32,46.6511
2097152,32,41.216
2097152,32,41.1949
2097152,32,41.09
2097152,32,41.2371
2097152,32,41.0273
2097152,32,41.1319
2097152,32,41.111
2097152,32,41.3216
2097152,32,41.0482
2097152,32,41.2371
2097152,32,41.1319
2097152,32,41.2582
2097152,32,41.1319
2097152,32,41.1949
2097152,32,41.0065
4194304,32,47.2523
4194304,32,47.2523
4194304,32,41.0273
4194304,32,41.0795
4194304,32,41.0273
4194304,32,40.9752
4194304,32,40.9336
4194304,32,40.9648
4194304,32,40.9856
4194304,32,143.907
4194304,32,141.137
4194304,32,134.657
4194304,32,130.729
4194304,32,123.333
4194304,32,113.765
4194304,32,114.007
4194304,32,102.166
4194304,32,105.714
4194304,32,91.3473
4194304,32,76.6363
8388608,32,82.3058
8388608,32,80.6194
8388608,32,81.8465
8388608,32,81.805
8388608,32,80.5992
8388608,32,76.2379
8388608,32,75.8793
8388608,32,76.1659
8388608,32,76.13
8388608,32,76.1479
8388608,32,75.9686
8388608,32,83.3907
8388608,32,70.2305
8388608,32,70.2305
8388608,32,64.1301
8388608,32,63.8383
8388608,32,64.0029
8388608,32,63.8636
8388608,32,63.9775
8388608,32,64.3733
16777216,32,59.9255
16777216,32,59.8921
16777216,32,73.1358
16777216,32,79.02
16777216,32,82.6643
16777216,32,90.4257
16777216,32,90.4257
16777216,32,90.6034
16777216,32,85.0841
16777216,32,84.9385
16777216,32,84.7488
16777216,32,84.8826
16777216,32,85.0504
16777216,32,79.0588
16777216,32,153.018
16777216,32,151.367
16777216,32,149.163
16777216,32,145.858
16777216,32,138.501
16777216,32,130.914
1024,64,0.171985
1024,64,0.169761
1024,64,0.16831
1024,64,0.171985
1024,64,0.169761
1024,64,0.169033
1024,64,0.169761
1024,64,0.16831
1024,64,0.690958
1024,64,0.690958
1024,64,0.635236
1024,64,0.635236
1024,64,0.605917
1024,64,0.596737
1024,64,0.532225
1024,64,0.554713
1024,64,0.518219
1024,64,0.518219
1024,64,0.4803
1024,64,0.492308
2048,64,0.856187
2048,64,0.846981
2048,64,0.729345
2048,64,0.743106
