bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kernel-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.000057,0.000001,0.000056,N/A,0.000103,0.000008,0.000095,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.007771,0.000083,0.007581,N/A,0.007831,0.000084,0.007629,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.001983,0.000001,0.001982,N/A,0.002029,0.000007,0.002023,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.008275,0.000374,0.007643,N/A,0.008339,0.000376,0.007692,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.002288,0.000028,0.002187,N/A,0.002337,0.000027,0.002233,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.006649,0.000322,0.006405,N/A,0.006703,0.000324,0.006456,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.001818,0.000004,0.001805,N/A,0.001867,0.000010,0.001854,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.006576,0.000104,0.006440,N/A,0.006632,0.000104,0.006493,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.001848,0.000049,0.001808,N/A,0.001894,0.000051,0.001853,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.006168,0.000040,0.006075,N/A,0.006220,0.000041,0.006125,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.001515,0.000005,0.001501,N/A,0.001564,0.000008,0.001545,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.006189,0.000070,0.006065,N/A,0.006249,0.000072,0.006124,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.001530,0.000025,0.001503,N/A,0.001576,0.000027,0.001548,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.000491,0.000005,0.000481,N/A,0.000536,0.000012,0.000518,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.000183,0.000001,0.000181,N/A,0.000231,0.000009,0.000218,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.000490,0.000004,0.000479,N/A,0.000530,0.000007,0.000519,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.000180,0.000001,0.000177,N/A,0.000220,0.000004,0.000217,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.000421,0.000003,0.000412,N/A,0.000460,0.000007,0.000448,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.000149,0.000000,0.000148,N/A,0.000196,0.000008,0.000186,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.000420,0.000004,0.000411,N/A,0.000469,0.000010,0.000452,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.000149,0.000001,0.000148,N/A,0.000196,0.000009,0.000185,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.000402,0.000006,0.000392,N/A,0.000443,0.000009,0.000433,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.000124,0.000000,0.000123,N/A,0.000166,0.000007,0.000162,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.000400,0.000004,0.000389,N/A,0.000441,0.000008,0.000429,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.000124,0.000001,0.000123,N/A,0.000166,0.000004,0.000162,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.000254,0.000002,0.000249,N/A,0.000295,0.000007,0.000287,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.000123,0.000001,0.000121,N/A,0.000170,0.000007,0.000159,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.000254,0.000002,0.000248,N/A,0.000299,0.000009,0.000287,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.000122,0.000001,0.000119,N/A,0.000166,0.000006,0.000158,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.000219,0.000002,0.000215,N/A,0.000260,0.000007,0.000254,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.000095,0.000000,0.000094,N/A,0.000139,0.000007,0.000133,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.000218,0.000002,0.000213,N/A,0.000262,0.000009,0.000252,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.000095,0.000000,0.000095,N/A,0.000137,0.000004,0.000135,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.000208,0.000001,0.000205,N/A,0.000249,0.000008,0.000243,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.000080,0.000001,0.000080,N/A,0.000128,0.000008,0.000117,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.000209,0.000002,0.000205,N/A,0.000256,0.000009,0.000242,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.000080,0.000001,0.000080,N/A,0.000123,0.000007,0.000119,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.000083,0.000001,0.000082,N/A,0.000125,0.000008,0.000117,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.000082,0.000001,0.000080,N/A,0.000124,0.000008,0.000117,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.000083,0.000001,0.000083,N/A,0.000123,0.000004,0.000120,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.000082,0.000001,0.000081,N/A,0.000127,0.000007,0.000118,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.000069,0.000001,0.000068,N/A,0.000113,0.000010,0.000103,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.000060,0.000001,0.000059,N/A,0.000107,0.000008,0.000096,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.000069,0.000000,0.000068,N/A,0.000117,0.000009,0.000106,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.000060,0.000001,0.000059,N/A,0.000106,0.000007,0.000096,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.000071,0.000001,0.000070,N/A,0.000116,0.000008,0.000105,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.000058,0.000001,0.000057,N/A,0.000103,0.000007,0.000094,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.000071,0.000001,0.000070,N/A,0.000116,0.000008,0.000108,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.000058,0.000001,0.000057,N/A,0.000106,0.000007,0.000096,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.000139,0.000001,0.000137,N/A,0.000180,0.000008,0.000172,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.000094,0.000001,0.000092,N/A,0.000139,0.000008,0.000129,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.000139,0.000001,0.000136,N/A,0.000183,0.000009,0.000174,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.000093,0.000001,0.000090,N/A,0.000134,0.000005,0.000130,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.000118,0.000001,0.000116,N/A,0.000157,0.000005,0.000153,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.000070,0.000001,0.000069,N/A,0.000112,0.000007,0.000109,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.000118,0.000001,0.000116,N/A,0.000162,0.000009,0.000154,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.000070,0.000000,0.000069,N/A,0.000112,0.000005,0.000106,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.000114,0.000001,0.000112,N/A,0.000164,0.000009,0.000148,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.000063,0.000001,0.000062,N/A,0.000111,0.000008,0.000100,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.000114,0.000001,0.000113,N/A,0.000160,0.000010,0.000149,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.000063,0.000001,0.000062,N/A,0.000107,0.000007,0.000101,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.000969,0.000010,0.000940,N/A,0.001011,0.000013,0.000978,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.000305,0.000005,0.000301,N/A,0.000352,0.000009,0.000341,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.000968,0.000010,0.000949,N/A,0.001013,0.000013,0.000989,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.000296,0.000004,0.000294,N/A,0.000340,0.000007,0.000332,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.000830,0.000007,0.000812,N/A,0.000874,0.000010,0.000853,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.000260,0.000001,0.000259,N/A,0.000303,0.000007,0.000299,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.000827,0.000007,0.000809,N/A,0.000871,0.000010,0.000852,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.000260,0.000003,0.000258,N/A,0.000307,0.000008,0.000296,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.000784,0.000006,0.000773,N/A,0.000824,0.000009,0.000811,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.000215,0.000001,0.000214,N/A,0.000258,0.000006,0.000255,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.000784,0.000006,0.000771,N/A,0.000826,0.000009,0.000813,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.000215,0.000001,0.000214,N/A,0.000258,0.000005,0.000255,N/A,,,,
