bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-max,run-time-mean,run-time-stddev,run-time-min,run-time-max,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
OptimizedVectorAddition_int64_sg16,0,0,3072,512,100000,0.005729,0.000068,,,0.005843,0.000073,0.005759,,0.474670,0.014786,0.500061,0.463379
OptimizedVectorAddition_fp32_sg16,0,0,3072,512,100000,0.004706,0.000075,,,0.004810,0.000066,0.004752,,0.420288,0.050648,0.465027,0.358703
OptimizedVectorAddition_int32_sg32,0,0,3072,512,100000,0.005189,0.000050,,,0.005289,0.000046,0.005254,,0.498425,0.049815,0.554077,0.454773
OptimizedVectorAddition_int64_sg32,0,0,3072,512,100000,0.006913,0.000091,,,0.007026,0.000094,0.006953,,0.629321,0.043245,0.660156,0.553223
OptimizedVectorAddition_fp32_sg32,0,0,3072,512,100000,0.005153,0.000027,,,0.005246,0.000031,0.005209,,0.473877,0.038199,0.541199,0.449218
OptimizedVectorAddition_int32_sg8,0,0,3072,256,100000,0.004172,0.000000,,,0.004263,0.000032,0.004243,,0.395655,0.042271,0.467896,0.356507
OptimizedVectorAddition_int64_sg8,0,0,3072,256,100000,0.004774,0.000047,,,0.004873,0.000039,0.004843,,0.448852,0.039585,0.481628,0.405029
OptimizedVectorAddition_fp32_sg8,0,0,3072,256,100000,0.004151,0.000044,,,0.004247,0.000054,0.004212,,0.397412,0.032866,0.455627,0.378967
OptimizedVectorAddition_int32_sg16,0,0,3072,256,100000,0.004704,0.000006,,,0.004798,0.000007,0.004790,,0.409058,0.046565,0.467224,0.366211
OptimizedVectorAddition_int64_sg16,0,0,3072,256,100000,0.005723,0.000074,,,0.005825,0.000077,0.005758,,0.527784,0.046878,0.567261,0.475831
OptimizedVectorAddition_fp32_sg16,0,0,3072,256,100000,0.004642,0.000018,,,0.004737,0.000017,0.004713,,0.431372,0.048399,0.478516,0.373535
OptimizedVectorAddition_int32_sg32,0,0,3072,256,100000,0.005131,0.000042,,,0.005232,0.000029,0.005190,,0.498157,0.045267,0.551208,0.458069
OptimizedVectorAddition_int64_sg32,0,0,3072,256,100000,0.006816,0.000034,,,0.006922,0.000044,0.006846,,0.643530,0.008360,0.653320,0.635376
