bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003704,0.000000,,N/A,0.003829,0.000000,0.003829,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012905,0.000000,,N/A,0.013029,0.000000,0.013029,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003529,0.000000,,N/A,0.003631,0.000000,0.003631,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012816,0.000000,,N/A,0.012937,0.000000,0.012937,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003525,0.000000,,N/A,0.003629,0.000000,0.003629,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.012052,0.000000,,N/A,0.012158,0.000000,0.012158,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002940,0.000000,,N/A,0.003042,0.000000,0.003042,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.012037,0.000000,,N/A,0.012163,0.000000,0.012163,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002947,0.000000,,N/A,0.003027,0.000000,0.003027,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015065,0.000000,,N/A,0.015204,0.000000,0.015204,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003830,0.000000,,N/A,0.003921,0.000000,0.003921,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015103,0.000000,,N/A,0.015222,0.000000,0.015222,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003686,0.000000,,N/A,0.003792,0.000000,0.003792,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012693,0.000000,,N/A,0.012820,0.000000,0.012820,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003501,0.000000,,N/A,0.003608,0.000000,0.003608,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012691,0.000000,,N/A,0.012809,0.000000,0.012809,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003506,0.000000,,N/A,0.003592,0.000000,0.003592,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.012016,0.000000,,N/A,0.012116,0.000000,0.012116,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002938,0.000000,,N/A,0.003042,0.000000,0.003042,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.012088,0.000000,,N/A,0.012216,0.000000,0.012216,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002935,0.000000,,N/A,0.003040,0.000000,0.003040,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015577,0.000000,,N/A,0.015676,0.000000,0.015676,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003830,0.000000,,N/A,0.003932,0.000000,0.003932,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015302,0.000000,,N/A,0.015418,0.000000,0.015418,N/A,,,,
VectorAddition_fp32_sg8,,,2097152,1024,,N/A,0.003703,0.000000,,N/A,0.003798,0.000000,0.003798,N/A,,,,
VectorAddition_int16_sg16,,,2097152,1024,,N/A,0.012930,0.000000,,N/A,0.013056,0.000000,0.013056,N/A,,,,
VectorAddition_int32_sg16,,,2097152,1024,,N/A,0.003517,0.000000,,N/A,0.003629,0.000000,0.003629,N/A,,,,
VectorAddition_fp16_sg16,,,2097152,1024,,N/A,0.012682,0.000000,,N/A,0.012811,0.000000,0.012811,N/A,,,,
VectorAddition_fp32_sg16,,,2097152,1024,,N/A,0.003521,0.000000,,N/A,0.003625,0.000000,0.003625,N/A,,,,
VectorAddition_int16_sg32,,,2097152,1024,,N/A,0.012165,0.000000,,N/A,0.012292,0.000000,0.012292,N/A,,,,
VectorAddition_int32_sg32,,,2097152,1024,,N/A,0.002930,0.000000,,N/A,0.003039,0.000000,0.003039,N/A,,,,
VectorAddition_fp16_sg32,,,2097152,1024,,N/A,0.012052,0.000000,,N/A,0.012179,0.000000,0.012179,N/A,,,,
VectorAddition_fp32_sg32,,,2097152,1024,,N/A,0.002956,0.000000,,N/A,0.003057,0.000000,0.003057,N/A,,,,
VectorAddition_int16_sg8,,,2097152,1024,,N/A,0.015397,0.000000,,N/A,0.015512,0.000000,0.015512,N/A,,,,
VectorAddition_int32_sg8,,,2097152,1024,,N/A,0.003813,0.000000,,N/A,0.003897,0.000000,0.003897,N/A,,,,
VectorAddition_fp16_sg8,,,2097152,1024,,N/A,0.015046,0.000000,,N/A,0.015150,0.000000,0.015150,N/A,,,,
