bench-name,core-freq,memory-freq,problem-size,local-size,num-iters,throughput-metric,kernel-time-mean,kernel-time-stddev,kerne-time-min,kernel-time-throughput,run-time-mean,run-time-stddev,run-time-min,run-time-throughput,kernel-energy-mean,kernel-energy-stddev,kernel-energy-max,kernel-energy-min
MicroBench_LocalMem_fp64_4096,,,8388608,256,,512.000000,N/A,N/A,,N/A,0.043450,0.000068,0.043397,11798.123688,,,,
MicroBench_LocalMem_int32_4096,,,16384,256,,0.000000,N/A,N/A,,N/A,0.000117,0.000010,0.000109,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,16384,256,,0.000000,N/A,N/A,,N/A,0.000119,0.000006,0.000109,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,16384,256,,1.000000,N/A,N/A,,N/A,0.000170,0.000046,0.000134,7477.921437,,,,
MicroBench_LocalMem_int32_4096,,,4194304,256,,128.000000,N/A,N/A,,N/A,0.010941,0.000005,0.010936,11703.957181,,,,
MicroBench_LocalMem_fp32_4096,,,4194304,256,,128.000000,N/A,N/A,,N/A,0.010940,0.000005,0.010936,11704.659259,,,,
MicroBench_LocalMem_fp64_4096,,,4194304,256,,256.000000,N/A,N/A,,N/A,0.021822,0.000065,0.021717,11787.955675,,,,
MicroBench_LocalMem_int32_4096,,,16777216,256,,512.000000,N/A,N/A,,N/A,0.043207,0.000024,0.043179,11857.541550,,,,
MicroBench_LocalMem_fp32_4096,,,16777216,256,,512.000000,N/A,N/A,,N/A,0.043200,0.000026,0.043179,11857.526172,,,,
MicroBench_LocalMem_fp64_4096,,,16777216,256,,1024.000000,N/A,N/A,,N/A,0.086201,0.000089,0.086140,11887.577738,,,,
MicroBench_LocalMem_int32_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000110,0.000008,0.000105,N/A,,,,
MicroBench_LocalMem_fp32_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000110,0.000007,0.000105,N/A,,,,
MicroBench_LocalMem_fp64_4096,,,4096,256,,0.000000,N/A,N/A,,N/A,0.000169,0.000048,0.000133,N/A,,,,
MicroBench_LocalMem_int32_4096,,,65536,256,,2.000000,N/A,N/A,,N/A,0.000236,0.000007,0.000232,8623.551782,,,,
MicroBench_LocalMem_fp32_4096,,,65536,256,,2.000000,N/A,N/A,,N/A,0.000234,0.000003,0.000232,8627.271668,,,,
